timestamp,hour_of_day,sending_address,receiving_address,amount,transaction_type,location_region,ip_prefix,login_frequency,session_duration,purchase_pattern,age_group,risk_score,anomaly
2022-04-11 12:47:27,12,0x9d32d0bf2c00f41ce7ca01b66e174cc4dcb0c1da,0x39f82e1c09bc6d7baccc1e79e5621ff812f50572,796.9492059264745,transfer,Europe,192.0,3,48,focused,established,18.75,low_risk
2022-06-14 19:12:46,19,0xd6e251c23cbf52dbd472f079147873e655d8096f,0x51e8fbe24f124e0e30a614e14401b9bbfed5384c,0.01,purchase,South America,172.0,5,61,focused,established,25.0,low_risk
2022-01-18 16:26:59,16,0x2e0925b922fed01f6a85d213ae2718f54b8ca305,0x52c7911879f783d590af45bda0c0ef2b8536706f,778.197389885983,purchase,Asia,192.168,3,74,focused,established,31.25,low_risk
2022-06-15 09:20:04,9,0x93efefc25fcaf31d7695f28018d7a11ece55457f,0x8ac3b7bd531b3a833032f07d4e47c7af6ea7bace,300.8383577068122,transfer,South America,172.0,8,111,high_value,veteran,36.75,low_risk
2022-02-18 14:35:30,14,0xad3b8de45d63f5cce28aef9a82cf30c397c6ceb9,0x6fdc047c2391615b3facd79b4588c7e9106e49f2,775.5693437525714,sale,Africa,172.16,6,100,high_value,veteran,62.5,moderate_risk
2022-04-05 19:05:44,19,0xa99b9a7f5c5dd37429771efd3b93c6fbe1ab2936,0x5a78c88c5fc1e9b512f6c64e266b46a9db0a7238,590.25398234613,transfer,Africa,192.168,4,66,focused,established,15.75,low_risk
2022-09-27 18:46:51,18,0xcca095ad2d508c200bda1141f783d77c3e6cbb08,0xb71a4df291ea8e9996a74e77ab63f5abcbfe90f5,671.4962455418183,sale,South America,192.0,8,103,high_value,veteran,52.5,low_risk
2022-03-30 19:55:51,19,0xe0b340171486b08f0c1f4ac607ed776478cefd2b,0x577754308538f4be10a41afb4f8900cd24d7098f,800.2089338363055,sale,South America,192.0,1,32,random,new,50.0,low_risk
2022-04-15 15:10:10,15,0xb0b2f6fc707fbb7f9d27a9f4fe0cb0d6b39a0155,0xd6ba299fdd52f09f01d9648036ca446498c01ac2,218.03094416136088,transfer,South America,192.0,4,42,focused,established,15.0,low_risk
2022-02-26 13:37:34,13,0x6ea0e02fb6ee893dc3b70b98df1a48165d28eb09,0xc28cbdb253f12174f7aa80ff6c6660f2e09397d7,134.59537810095418,transfer,Europe,172.16,3,79,focused,established,15.0,low_risk
2022-03-31 20:40:22,20,0xed50d9894bd4379c934f7d19a60eedbc41af792f,0xe0b340171486b08f0c1f4ac607ed776478cefd2b,585.3229359466544,sale,South America,172.0,8,85,high_value,veteran,52.5,low_risk
2022-10-31 15:22:32,15,0xb861dba00f3213878d23606b20e3871f34c12020,0xbdac6e49b5b53147caf71fc95f91c85fb11a778e,858.7169292335373,transfer,Europe,172.16,5,54,focused,established,18.75,low_risk
2022-11-10 08:32:52,8,0xfcf9a3467d3d93688fb17b4ebb6b681b1fa29f94,0x6d4f7db757a1bd6bb43029ee13c037651ca20c74,765.870505856283,purchase,North America,172.16,4,62,focused,established,31.25,low_risk
2022-06-02 20:02:24,20,0xd2cff98e8e707049db92500414fec6f0bb5c895c,0x2e0925b922fed01f6a85d213ae2718f54b8ca305,792.9881739355139,purchase,South America,192.0,2,38,random,new,43.75,low_risk
2022-08-08 23:14:36,23,0x927f8801cf6073f5b6da2df4def5f548735e7062,0x9f4cf7ea4bae2fce7ad3c1fc8fa17e901e3cc732,393.4048333242111,sale,North America,192.0,6,149,high_value,veteran,52.5,low_risk
2022-12-23 13:11:14,13,0x6840e1b08ee1b07323601cb517a7fa770209cbc9,0xc6ed1f1e2a785b1991a0c2a877d19c750a7018b3,495.7842645156739,transfer,South America,192.168,8,99,high_value,veteran,36.75,low_risk
2022-01-07 14:02:33,14,0xbdac6e49b5b53147caf71fc95f91c85fb11a778e,0x8cc00387692b83d2a1f67e1647ebee4e42e6f094,625.4025878033489,sale,North America,172.0,7,142,high_value,veteran,52.5,low_risk
2022-05-09 09:30:48,9,0x1d29e3b6f9cfd846fc2cd0d8fa8df9118fcf4ff1,0x00e146b83342807fb6d5ada66b9559de1fcb7635,540.5648950902568,sale,Asia,172.16,8,126,high_value,veteran,52.5,low_risk
2022-10-05 01:37:16,1,0x0e7af9cd50f3db30d7d58fd6fba5e53af590b615,0x11229f1b76e0b0a36aa08911872979e7571de3a2,65.22560004822316,purchase,South America,10.0,4,53,focused,established,33.75,low_risk
2022-06-07 06:57:43,6,0x913bb81a957aec7d0e46c8dfc46f87cdde2e7b59,0x4ec607d0d5683a6e2fa4ca1278205bd81f47ce82,230.2143851161547,phishing,Europe,10.0,1,25,random,new,100.0,high_risk
2022-12-07 19:54:56,19,0x5deea2e63a6612746242000162949ba96d86f328,0x347a5b2f83484ff8983a8e7d5932575037da5e6e,521.6754305436302,sale,Africa,172.0,8,105,high_value,veteran,52.5,low_risk
2022-11-18 09:04:03,9,0xddbe1291b454f9b8699220f1e8724aa641ef4b42,0x51c0d24ccc5d9b0dd793052cb2d41efde2568056,306.13565066959046,sale,Africa,172.0,6,144,high_value,veteran,52.5,low_risk
2022-10-08 22:34:26,22,0x8ccc1bf3ffd76f7c07f9feef2ae49c2acbc4d146,0xd3c35800c4a468cef54d6581c8faf111f5d5ebfc,362.5265919105845,purchase,Asia,172.0,5,49,focused,established,26.25,low_risk
2022-12-05 22:20:32,22,0xb861dba00f3213878d23606b20e3871f34c12020,0x407cc9424fd62a58b14d11af3169f0bc6e9ae0b8,354.00267822920085,sale,Africa,10.0,8,91,high_value,veteran,52.5,low_risk
2022-07-04 07:06:43,7,0x41625efc8faf9a45b7e2573215897be5a4753c51,0x8011f8540db66bcd151239583c14ba727eca9af4,917.321007016044,transfer,South America,172.16,6,159,high_value,veteran,43.75,low_risk
2022-04-29 05:45:08,5,0x88b8bd8bfa1f2ba63f7c9c3613596b98eee4cfbe,0xcd19a8ffd47a6358b4eaa3ba2dfd223f6c3e91aa,625.4572454638961,transfer,South America,172.0,4,40,focused,established,21.2625,low_risk
2022-11-05 02:10:05,2,0x7cb57ac73f0c5a47b4501774b9ef68c26eba852c,0x50faf31a0864d01e098e833d31e67b0b8154eb05,851.3210875208952,sale,Europe,172.0,8,92,high_value,veteran,84.375,moderate_risk
2022-02-08 10:44:54,10,0x5c4f4e14c057359a61fd18fcd2cefc0bbf854f7a,0x2aea4036804b9dabfff3273ab296d6f519f85f7b,322.86588986263115,sale,North America,192.168,6,95,high_value,veteran,52.5,low_risk
2022-07-09 02:06:10,2,0xbbd27de41c75703fbc5b4ad84aa813903bb2e80f,0xbcbcacf1f2e151263e3890da058f6fa2b7b881d9,0.01,sale,North America,192.0,7,100,high_value,veteran,67.5,moderate_risk
2022-02-03 14:08:15,14,0x862d4927565384533339137fbc0f18a71f33d291,0xeb57df95b6822a78c2be987e14df39eb23221134,479.1285262971634,sale,South America,10.0,6,99,high_value,veteran,52.5,low_risk
2022-09-17 17:24:13,17,0x0c3d664e0278147460b1473376d615be29300f08,0x4d83a707c36c3b9c3f73e38e99e2d6f7940d0729,404.38113527125097,purchase,Asia,172.0,5,50,focused,established,26.25,low_risk
2022-02-24 09:21:24,9,0xf69856e25444d5fb10dc3b6f2a320e6c1efc3a09,0xc437f6b9d6dc254046417aa7b0aae3673cb267cd,543.577703829605,transfer,North America,172.0,7,95,high_value,veteran,36.75,low_risk
2022-04-09 23:52:58,23,0x63fdba900f030424b4b6e4751471596bb82c5c86,0xe1c7f902df458284a00edeca77c7e65b091c6855,602.2692769616223,sale,Africa,192.168,8,86,high_value,veteran,52.5,low_risk
2022-01-01 14:21:36,14,0xf0d6bebfc2d985fe3f46d2d9c04819ffb9e6d605,0xe4dda16590c1b05a186a0c0055914c056f037a05,483.3985841809038,transfer,North America,172.0,3,53,focused,established,15.75,low_risk
2022-06-16 14:26:54,14,0x07f5d673750440692d3e8fa711e48d890091e5f3,0xc0587f10c4247ded0b37c08b6bfbe4107afe2a9d,487.14214850355944,purchase,Asia,192.168,5,74,focused,established,26.25,low_risk
2022-02-06 04:31:02,4,0xc86ac691f8ed60430c73c3c7df39e6b3031f1660,0x0bb3d56593906e55aaa3b3f3e525b90b857fe0ce,505.8074482952425,sale,South America,172.0,6,99,high_value,veteran,70.875,moderate_risk
2022-08-10 09:13:16,9,0x0f00f63e28dc0e131d2df0859a6e700a79430a72,0xfafb6c7bcac939fccb380f622e3d2630d5b02ca8,606.7657246811382,sale,South America,172.16,1,34,random,new,42.0,low_risk
2022-08-29 11:19:51,11,0x06b7ab84b65c20ef760cf7a52903a9c903f61cab,0x69919f30bedfca39f0d897328100d22381567fc2,235.1039404160946,sale,Europe,172.16,6,82,high_value,veteran,50.0,low_risk
2022-04-15 13:10:58,13,0xe97ac3b49a92a25846e21a6d28da97ab9867b97b,0x6a9ab4e5a03178843826f1dcda742ca41851cffb,553.7288900997908,sale,Europe,192.0,6,129,high_value,veteran,52.5,low_risk
2022-11-20 00:36:16,0,0x156d8001b8313e065bddaa57c4440c0b7da880e1,0xcf9e3898e418e3dcc57601de78ca5f684f0fb05f,323.16597289031927,sale,Asia,172.0,8,93,high_value,veteran,70.875,moderate_risk
2022-10-22 18:47:35,18,0xa608f7958061ae8498d73aa0d8f6f5e8f51135ae,0x7409609cded76dc9192abdcbb3036b0dbe045328,590.0158979939504,purchase,Asia,192.168,1,31,random,new,36.75,low_risk
2022-02-10 20:12:54,20,0xf95da977c26b073fbc143abc23d6e8c25e1e6b92,0xdfa8523a0fbc3dfeb30d2aab86f0b22f4afeb25c,357.4740959462864,purchase,North America,10.0,5,79,focused,established,26.25,low_risk
2022-11-30 08:38:24,8,0xfff61889339b01858cc0b3034ecc59aa7f47db25,0x55f58111180d5b856ffd7688ac1a83c7901edeb8,545.3898997875332,purchase,North America,172.0,5,62,focused,established,26.25,low_risk
2022-05-27 21:36:21,21,0xca6d45d55dd03bc82d6e124508232d7c4fa84ebe,0x2eb06aa66934352ec5f746926ce9fcae55264a21,11.836976322543194,sale,North America,10.0,6,127,high_value,veteran,50.0,low_risk
2022-08-22 06:46:06,6,0x231dd8e2959e878a59a26ebdbf6f7d122403f350,0xaa4e0c93fb97f2512be69d454096ce385e25daf3,490.912071580041,transfer,Africa,10.0,7,151,high_value,veteran,49.612500000000004,low_risk
2022-04-17 06:04:17,6,0x32426fc2964548bc62a15bd06219b6f56df70c8d,0xe088145274cda0e36ab21cd62e2c05b97d5831af,494.9013365203876,purchase,Africa,172.16,5,53,focused,established,35.4375,low_risk
2022-12-26 17:08:33,17,0xe61fce77abc7e2b68c3e22741d34b853f76ad7aa,0xb1ccf0d27bb3e844bb692e2577089b2f822d5aad,303.0368058051796,transfer,Asia,10.0,3,75,focused,established,15.75,low_risk
2022-06-16 02:57:31,2,0x6dfa997313561f76f4ea1c1108839dc5daf44f24,0x44254da8674f7b629e0b90c3c9af754db2d19c3e,468.47864114616874,sale,North America,10.0,8,100,high_value,veteran,70.875,moderate_risk
2022-05-03 10:25:24,10,0x99f3892015fadddceeda935399979f8f86393d99,0x4d21a101a856354db6d3bd5ce56730cc26565e35,28.234242050624857,transfer,South America,172.0,3,78,focused,established,15.0,low_risk
2022-02-15 00:13:06,0,0x068b2d763fa2b7bf7df1bbe747ce65665450be98,0x02af9102a2b6e8fc4dbfc65e7d9280f732374fb3,164.42033074321807,sale,North America,192.168,2,29,random,new,54.0,low_risk
2022-03-10 06:25:26,6,0xe6cf0f869bd0fe0bad3f64952f43ab142c679a1d,0x7cadcf96eec22cc067063b96ab4f6cb996d391ec,181.24801940706817,sale,North America,172.0,8,83,high_value,veteran,67.5,moderate_risk
2022-04-20 22:29:43,22,0xc867aed43b9f3981660886955e5aa0874b0c472b,0xeb4b9027cec7bf62268e994678806e80323a272d,493.8897326786156,purchase,Africa,10.0,5,42,focused,established,26.25,low_risk
2022-03-15 11:33:42,11,0x6b7b931603056cb8aed7477068c071591a5ee3e9,0x42f64284f4435ce6a0af4f3112fe34e116444b1d,292.42478523798667,purchase,South America,172.16,3,49,focused,established,25.0,low_risk
2022-12-30 01:33:43,1,0x577754308538f4be10a41afb4f8900cd24d7098f,0x8ca22b169ae66648e5a4d155473ef2940fc50f10,386.06200732705383,purchase,Africa,192.0,4,73,focused,established,35.4375,low_risk
2022-03-27 01:41:57,1,0xd6ba299fdd52f09f01d9648036ca446498c01ac2,0xfda2b6ba8035837024610a5d601305a4772e193b,669.5743560933811,sale,North America,10.0,6,135,high_value,veteran,70.875,moderate_risk
